
   INFO  Server running on [http://127.0.0.1:8000].  

  Press Ctrl+C to stop the server
  2026-08-22 15:10:37 /api/captcha/request/65b9a9c9-d525-4454-b798-5240c977c614 .......................... ~ 513.38ms
  2026-08-22 15:10:38 /api/captcha/request/65b9a9c9-d525-4454-b798-5240c977c614 ................................ ~ 1s
  2026-08-22 15:10:40 /api/captcha/request/65b9a9c9-d525-4454-b798-5240c977c614 ................................ ~ 1s
  2026-08-22 15:10:42 /api/captcha/request/65b9a9c9-d525-4454-b798-5240c977c614 .......................... ~ 514.67ms
  2026-08-22 15:10:43 /api/captcha/request/65b9a9c9-d525-4454-b798-5240c977c614 .......................... ~ 513.34ms
  2026-08-22 15:10:45 /api/captcha/request/65b9a9c9-d525-4454-b798-5240c977c614 .......................... ~ 504.62ms
  The system cannot find the path specified.
  2026-08-22 15:10:46 /api/captcha/control/status .............................................................. ~ 1s
  2026-08-22 15:10:47 /api/captcha/request/65b9a9c9-d525-4454-b798-5240c977c614 ................................ ~ 1s
  2026-08-22 15:10:48 /api/captcha/request/65b9a9c9-d525-4454-b798-5240c977c614 .......................... ~ 503.03ms
  2026-08-22 15:10:50 /api/captcha/request/65b9a9c9-d525-4454-b798-5240c977c614 .......................... ~ 511.08ms
  2026-08-22 15:10:52 /api/captcha/request/65b9a9c9-d525-4454-b798-5240c977c614 ................................ ~ 1s
  2026-08-22 15:10:53 /api/captcha/request/65b9a9c9-d525-4454-b798-5240c977c614 .......................... ~ 501.79ms
  2026-08-22 15:10:55 /api/captcha/request/65b9a9c9-d525-4454-b798-5240c977c614 .......................... ~ 516.07ms
  2026-08-22 15:10:57 /api/captcha/request/65b9a9c9-d525-4454-b798-5240c977c614 .......................... ~ 516.09ms
  2026-08-22 15:10:58 /api/captcha/request/65b9a9c9-d525-4454-b798-5240c977c614 .......................... ~ 501.96ms
  2026-08-22 15:11:00 /api/captcha/request/65b9a9c9-d525-4454-b798-5240c977c614 ................................ ~ 1s
  The system cannot find the path specified.
